"matricula","mediana.sessao","nota.final.pratica","num.exercicios","tempo.total.estudo","atividade"
"107076E4",2465,2.7,88,24.8216666666667,0.176
"10E8A59E",573.5,5.8,160,24.78,0.312
"13085463",1053,6.7,151,30.2994444444444,0.32
"1397BFB0",739,8.9,164,39.3166666666667,0.376
"14A1B78B",2987,7,98,24.7791666666667,0.264
"15A3743B",2590.5,7.4,128,33.3169444444444,0.224
"15EA15E5",882,3.4,96,22.1247222222222,0.256
"189E4323",456.5,1.7,94,18.7197222222222,0.256
"19449717",339,7.6,140,15.7738888888889,0.352
"1A25F6BF",2472,5.6,134,40.9519444444444,0.32
"1B81A33E",732,9.1,162,28.3016666666667,0.432
"1DF2A12E",871,8.7,170,35.2508333333333,0.44
"210B0D56",2152,8.4,162,29.5647222222222,0.296
"21604216",863.5,7.1,143,19.615,0.28
"22EB47AA",3145,7.7,158,44.9672222222222,0.344
"240164B6",650.5,2.1,66,14.0444444444444,0.208
"2556AF8C",498,6,148,28.1441666666667,0.28
"2561F105",1443.5,0.6,30,4.69055555555556,0.048
"25762941",636.5,7.8,153,42.1838888888889,0.304
"258DFC4B",1692,7.6,144,61.1961111111111,0.376
"267C1E34",521,8.2,140,23.3552777777778,0.296
"26EA2FA",1071,7.1,106,20.1952777777778,0.216
"2777E5EE",2495,6.2,138,43.8005555555556,0.28
"281286BC",1336.5,8.5,163,25.1522222222222,0.264
"28E49A9D",1901.5,3,88,22.5136111111111,0.16
"2B989949",869,5.6,165,41.0152777777778,0.416
"37594F45",2001.5,7.2,146,55.2363888888889,0.432
"3826E0DE",1688,7.6,167,57.2788888888889,0.368
"390C0CCC",495.5,7,164,21.2644444444444,0.328
"3A1B84F4",1688,7.6,157,43.9616666666667,0.416
"3FE45559",254.5,3.9,50,3.49972222222222,0.136
"4195063D",851.5,0.9,25,5.06777777777778,0.096
"445E679D",1585,7.2,111,16.9916666666667,0.176
"4482494C",984.5,8.5,151,21.6413888888889,0.256
"44AF14C1",1749,7.2,172,78.7819444444444,0.52
"44D029E4",1096,1.3,58,16.4722222222222,0.16
"46484C5E",349,7.5,170,64.8202777777778,0.616
"492E11B4",2049,2.5,44,10.8863888888889,0.12
"4AD45AC5",2022.5,9.1,152,30.8222222222222,0.32
"4B929F6",447,8.3,163,8.73638888888889,0.224
"4C84103A",1226,8.4,167,20.9663888888889,0.28
"4D98EE47",1834,8.2,158,34.1372222222222,0.336
"51FE3830",3011,7.2,154,57.1925,0.304
"52C319A1",2366.5,4.3,93,28.3625,0.16
"52E571B8",532,3.1,57,6.36166666666667,0.144
"55BA642E",912.5,7.1,115,14.3077777777778,0.192
"562A867F",637.5,7.9,163,22.3955555555556,0.36
"5978A120",1480,8.7,156,26.0688888888889,0.32
"5B8F96B8",1256,6.4,112,17.2477777777778,0.208
"5CD8B4FE",229,6.2,69,4.8225,0.16
"5EA91E42",1337,8.1,140,36.0741666666667,0.4
"60BAF986",656.5,2.8,42,6.82027777777778,0.128
"63116A24",623,8.3,170,29.1905555555556,0.408
"64B26A18",77,1.4,43,5.49583333333333,0.176
"673B031F",1727,6.8,136,35.1938888888889,0.32
"67657F86",1074,7.2,145,34.4130555555556,0.4
"6878BF80",1295.5,7.6,117,17.5563888888889,0.24
"68FA8B73",1504,8.3,155,22.98,0.192
"6A197CF",375.5,7.2,140,30.9597222222222,0.384
"6C643AAF",120,1.3,41,6.36194444444444,0.144
"71F3C736",1552,8.4,159,48.3969444444444,0.416
"7365085E",802,2.5,126,9.48361111111111,0.176
"740BC298",1331,3.8,152,48.8577777777778,0.4
"74E3795C",391,5.6,99,8.45111111111111,0.208
"77089DA4",1483.5,2.9,51,11.2055555555556,0.184
"77A35CA",1321,9.2,128,21.5511111111111,0.312
"792B1580",710,2.6,97,17.1855555555556,0.2
"79CBE190",1786,7.5,142,32.6002777777778,0.312
"7BCB919D",1246,7.8,165,49.7938888888889,0.456
"7BF33A4A",1191,6.5,110,21.5213888888889,0.304
"7C52AF6D",2010,7.8,137,18.4216666666667,0.2
"7DCD514D",1250,7.2,162,48.1572222222222,0.432
"8CAB3DB",2740,1.6,48,14.9172222222222,0.144
"ADBC154",2519,5.8,99,22.1677777777778,0.192
"B5D2F64",1912,3.1,67,14.9197222222222,0.16
"E3A19A",1881,6.8,111,17.1080555555556,0.232
"F952D04",252,8.7,161,19.2902777777778,0.312
